customer_id,code,name,status,address_used,latitude,longitude,accuracy,match_precision,notes
309,NE001 2,NEWELL STORES,updated,"11 Lineside
Coalisland
Coalisland",54.5395184,-6.6994096,10,ROOFTOP,"Google match: '11 Lineside, Coalisland, Dungannon BT71 4LP, UK'"
310,NE001 1,NEWELL STORES,skipped-no-address,,,,,,
311,NICE001 1,NICE PRICE,updated-low-confidence,"Century Wharf
Crayford Creek Road
DA1 4QG",51.4590203,0.1996623,200,GEOMETRIC_CENTER,"Google match: 'Crayford Crk Rd, Dartford DA1 4QG, UK'; partial match; LOW CONFIDENCE - review manually"
312,NIE001 1,NIELD ON DEMAND LTD,skipped-no-address,,,,,,
313,NORM001 1,NORMAL A/S,updated,"Egeskovvej 15
DK - 8700 Horsens",55.9216735,9.8269798,10,ROOFTOP,"Google match: 'Egeskovvej 15, 8700 Horsens, Denmark'"
314,NORM001 2,NORMAL A/S,updated,"Kildeparken 36
8722 Hedensted",55.77916980000001,9.6627265,10,ROOFTOP,"Google match: 'Kildeparken 36, 8722 Hedensted, Denmark'"
315,NORTH002 1,NORTHERN MARKETING SERVICES LTD,updated-low-confidence,"Turner Road
Nelson
Lancashire
BB9 7DR",53.8340595,-2.2289129,200,GEOMETRIC_CENTER,"Google match: 'Turner Rd, Nelson BB9 7DR, UK'; LOW CONFIDENCE - review manually"
316,NU001 2,NU MODE INTERNATIONAL LTD,updated,"Unit 6
Derryloran Ind Estate
Cookstown
BT80 9LU",54.63015189999999,-6.7559282,10,ROOFTOP,"Google match: '6 Derryloran Industrial Estate, Cookstown BT80 9LU, UK'"
317,NU001 1,NU MODE INTERNATIONAL LTD,updated-low-confidence,"The Coach House
Little Stannalls
Bittell Rd
Barnt Green, B48 7BN",52.3634085,-1.969615,10,ROOFTOP,"Google match: 'Little Stannells, Bittell Rd, Alvechurch, Birmingham B48 7BN, UK'; partial match; LOW CONFIDENCE - review manually"
318,OHS001 1,ONLINE HOME SHOP LTD,updated-low-confidence,M28 2LX,53.51433669999999,-2.3559455,3000,APPROXIMATE,"Google match: 'Priestley Rd, Wardley, Worsley, Manchester M28 2LX, UK'; LOW CONFIDENCE - review manually"
319,OLDGR001 1,OLD GREEN LTD T/A KINGDOM OF SWEETS,updated,"Trocadero
7-14 Coventry Street
London
W1D 7DH",51.5106013,-0.1329675,10,ROOFTOP,"Google match: 'London Trocadero, London W1D 7DH, UK'"
320,ONEB001 1,ONE BEYOND RETAIL LTD,updated-low-confidence,"Bays 1-2 Dearne Mills
Darton
Barnsley
S75 5NH",53.5822378,-1.5283996,200,GEOMETRIC_CENTER,"Google match: 'Dearne Mls, Darton, Barnsley S75 5NH, UK'; partial match; LOW CONFIDENCE - review manually"
321,ONEB002 0,ONE BEYOND RETAIL LTD,updated-low-confidence,"Bays 1-2 Dearne Mills
Darton
Barnsley
S75 5NH",53.5822378,-1.5283996,200,GEOMETRIC_CENTER,"Google match: 'Dearne Mls, Darton, Barnsley S75 5NH, UK'; partial match; LOW CONFIDENCE - review manually"
322,ONLINE001 1,ONLINE POUNDSHOP LIMITED,updated-low-confidence,"Poundshop Warehouse
Unit 8 Pacific Avenue
Wednesbury
WS10 7WP",52.54392499999999,-2.032639,10,ROOFTOP,"Google match: 'Unit 8, Parkway, Pacific Ave, Wednesbury WS10 7WP, UK'; partial match; LOW CONFIDENCE - review manually"
323,OPAL001 1,OPAL PRODUCTS LIMITED,updated,"Unit 27 Swannington Road
Cottage Lane Industrial Estate
Broughton Astley
Leicestershire, LE9 6TU",52.5291558,-1.2138073,10,ROOFTOP,"Google match: '27 Swannington Rd, Broughton Astley, Leicester LE9 6TU, UK'"
324,OT001 1,OTTO'S AG,updated-low-confidence,"WASSWERMATTE 3
6210 Suree",47.182098,8.1078188,10,ROOFTOP,"Google match: 'Wassermatte 3, 6210 Sursee, Switzerland'; partial match; LOW CONFIDENCE - review manually"
325,OTT001 0,OTTERDENE PRODUCTS,updated,"Saunders Way
Kingsmill Ind Estate
Cullompton
Devon, EX15 1BS",50.8623288,-3.3795115,10,ROOFTOP,"Google match: 'Kingsmill Industrial Estate, Granary Court, Cullompton EX15 1BS, UK'"
326,OVER001 0,OVERSEAS IMPORTS SL,updated-low-confidence,"Park Industrial Estate
Liverpool Road
Ashton In Makerfield
WN4 0YU",53.4863264,-2.6614765,200,GEOMETRIC_CENTER,"Google match: 'Park Industrial Estate, Liverpool Rd, Ashton-in-Makerfield, Wigan WN4 0YU, UK'; LOW CONFIDENCE - review manually"
327,OZS001 1,OZSALE PTY LTD,updated-low-confidence,"Apscale
1 Brunel Road
Earlstreet Industrial Estate
Corby, NN17 4JW",52.5094498,-0.6891822999999999,10,ROOFTOP,"Google match: '1 Brunel Rd, Corby NN17 4SL, UK'; partial match; LOW CONFIDENCE - review manually"
328,PAD001 1,KELLY'S DISCOUNT DIRECT LTD,updated-low-confidence,"Srah
Ballinlough
Co. Roscommon
F45 RX93",53.7453848,-8.6418315,3000,APPROXIMATE,"Google match: 'Srah, Co. Roscommon, F45 RX93, Ireland'; LOW CONFIDENCE - review manually"
